sample_name,total_reads,log_total_reads,estimated_biomass_per_pcrrxn,estimated_biomass_per_dnarxn,extraction_mass_g,estimated_cells_per_g,log_estimated_cells_per_g
13414.1.gill,66584.0,4.823369881624892,735394.6335136829,8824735.602164194,0.607,14538279.41048467,7.162513011285877
13414.1.hg,4747.0,3.67641923171836,71.05890286117695,852.7068343341234,0.088,9689.850390160494,3.9863170716607415
13414.1.midgut,24577.0,4.390528869479608,22457.429097906574,269489.1491748789,0.0818,3294488.3762210137,6.5177879795867035
13414.1.skin,5431.0,3.7348798027926273,113.83080008849556,1365.9696010619468,0.143,9552.234972461167,3.9801049969917597
13414.10.gill,26581.0,4.424571315444656,29547.834319528585,354574.011834343,0.366,968781.4530992979,5.986225815835105
13414.10.hg,1671.0,3.2229764498933915,1.8379833048229042,22.05579965787485,0.036,612.6611016076348,2.7872203074685054
13414.10.midgut,10964.0,4.03996902686746,1331.1436928666046,15973.724314399256,0.1001,159577.66547851407,5.202972107326767
13414.10.skin,13647.0,4.135037191549618,2864.251501310736,34371.01801572883,0.062,554371.2583182069,5.743800705951919
13414.100.g,3237.0,3.5101426994025733,18.602329007036555,223.22794808443865,0.0483,4621.6966477109445,3.6648014364808805
13414.100.hg,12632.0,4.101472117000238,2185.3276995864535,26223.932395037442,0.0261,1004748.3676259556,6.002057309283963
13414.100.midg,14923.0,4.173856138986269,3916.4890424217415,46997.8685090609,0.0202,2326627.153913906,6.366726792409429
13414.100.s,3629.0,3.5597869682005565,27.755377365110043,333.06452838132054,0.0248,13430.02130569841,4.128076701644137
13414.101.g,21307.0,4.328522305877335,13624.042696124156,163488.51235348987,0.0404,4046745.355284403,6.607105876920782
13414.101.hg,1610.0,3.2068258760318495,1.613639295697563,19.363671548370753,0.0697,277.81451288910694,2.443754929317448
13414.101.midg,2159.0,3.334252642334231,4.506755434271957,54.081065211263486,0.0625,865.2970433802158,2.9371652197836204
13414.101.s,5833.0,3.7658919764300154,146.15643284619017,1753.877194154282,0.0899,19509.201269791793,4.290239489219081
13414.102.hg,7011.0,3.8457799671118895,278.2697068262661,3339.236481915193,0.0329,101496.54960228551,5.006451278562944
13414.102.midg,9093.0,3.9587071910872846,691.4611704569213,8297.534045483055,0.0302,274752.782963015,5.438942100074089
13414.103.g,6650.0,3.8228216453031045,231.25988257155024,2775.118590858603,0.2811,9872.353578294567,3.994420701222432
13414.103.hg,2076.0,3.31722734917642,3.9288634457654674,47.14636134918561,0.0347,1358.6847651062135,3.1331187056981973
13414.103.midg,2273.0,3.356599435724971,5.396211521727458,64.75453826072949,0.0156,4150.931939790352,3.6181456125845397
13414.103.s,1287.0,3.1095785469043866,0.7368720491557573,8.842464589869088,0.116,76.22814301611282,1.8821153401074533
13414.11.gill,1690.0,3.2278867046136734,1.9121850305218446,22.946220366262136,0.223,102.89784917606339,2.0124062970099588
13414.11.hg,13380.0,4.1264561134318045,2672.8407038176633,32074.08844581196,0.062,517324.0071905155,5.713762632958554
13414.11.midgut,29717.0,4.473004964267271,43658.387770774374,523900.6532492925,0.0844,6207353.711484509,6.792906493342402
13414.11.skin,41365.0,4.616633028663394,138943.38805225483,1667320.656627058,0.057,29251239.589948386,7.466144275056401
13414.12.gill,12268.0,4.088773767310448,1972.7224369909184,23672.66924389102,0.353,67061.38596003123,4.826472524764942
13414.12.hg,22766.0,4.357286731514121,17178.921621672114,206147.0594600654,0.057,3616615.078246761,6.558302288609802
13414.12.skin,6716.0,3.827110687466011,239.39446084244645,2872.733530109357,0.089,32277.904832689408,4.508905336795616
13414.13.gill,9823.0,3.9922441440467713,906.0745586145488,10872.894703374586,0.203,53561.05765209156,4.728849144290904
13414.13.hg,11403.0,4.057019124322766,1527.245389934072,18326.944679208864,0.059,310626.18100354006,5.492238057272081
13414.13.midgut,18175.0,4.259474419531076,7809.150577775816,93709.8069333098,0.0619,1513890.2574040357,6.180094394099797
13414.13.skin,36007.0,4.556386938707568,85496.11554352517,1025953.386522302,0.067,15312737.112273164,7.185052826655843
13414.14.gill,101669.0,5.007188551927084,3235771.946175942,38829263.35411131,0.56,69337970.27519876,7.8409711244391715
13414.14.hg,9906.0,3.995898323646437,933.1584556433177,11197.901467719812,0.118,94897.47006542214,4.977254634437065
13414.14.midgut,9588.0,3.9817280253616163,832.4386794868236,9989.264153841883,0.119,83943.39625077213,4.92398653627327
13414.14.skin,6837.0,3.834865579900038,254.83560504510538,3058.0272605412647,0.049,62408.71960288295,4.795245272548728
13414.15.gill,73048.0,4.863608329772651,1017127.0081659595,12205524.097991515,0.683,17870459.87992901,7.252135728820453
13414.15.hg,9942.0,3.9974737588029803,945.083559057247,11341.002708686965,0.121,93727.29511311541,4.9718660838522695
13414.15.midgut,9576.0,3.9811841373983543,828.7973832844395,9945.568599413275,0.1316,75574.22947882427,4.8783737279993655
13414.15.skin,8506.0,3.9297253783780044,547.4152993524541,6568.98359222945,0.297,22117.78987282643,4.344741727786791
13414.16.gill,21164.0,4.325597752860019,13306.645744934667,159679.74893921602,0.037,4315668.890249082,6.635048117045647
13414.16.hg,22496.0,4.35210530333973,16476.2473599546,197714.9683194552,0.0116,17044393.82064269,7.231581560271201
13414.16.midgut,14132.0,4.1502036287628075,3236.691287948508,38840.2954553821,0.005,7768059.091076419,6.89031252055994
13414.16.skin,5302.0,3.7244397233970745,104.64398731397544,1255.7278477677053,0.115,10919.372589284394,4.03819768517827
13414.17.gill,92360.0,4.965483924245139,2312015.8776437514,27744190.53172502,0.41,67668757.39445128,7.830388201580442
13414.17.hg,5751.0,3.759743367597725,139.08962083191904,1669.0754499830284,0.059,28289.414406492007,4.451623957613888
13414.17.midgut,13512.0,4.130719636562953,2766.2889606711115,33195.46752805334,0.0263,1262185.0771122943,6.101123041180148
13414.17.skin,14513.0,4.161757195261727,3552.585595466349,42631.027145596185,0.163,261540.0438380134,5.417538192195568
13414.18.gill,1453.0,3.1622656142980214,1.1267387180712565,13.520864616855079,0.291,46.46345229159821,1.6671114752767286
13414.18.midgut,6798.0,3.832381160247041,249.78329651895322,2997.399558227439,0.1313,22828.6333452204,4.358479912874589
13414.18.skin,13883.0,4.142483323659504,3041.419616342597,36497.03539611116,0.338,107979.39466305077,5.033340888469233
13414.19.gill,31291.0,4.495419442581866,52303.36117675829,627640.3341210994,0.121,5187110.199347929,6.71492547461019
13414.19.hg,34183.0,4.5338101750105695,71271.58189383203,855258.9827259844,0.028,30544963.66878516,7.484939612903762
13414.19.midgut,4259.0,3.629307640073749,48.60761603336252,583.2913924003502,0.1013,5758.059154988649,3.7602761222567525
13414.19.skin,20205.0,4.305458854778667,11312.858657841596,135754.30389409914,0.107,1268731.8120943846,6.10336982947312
13414.2.gill,2358.0,3.3725438007590705,6.136238504265672,73.63486205118807,0.2937,250.71454562883235,2.3991795310187904
13414.2.hg,12178.0,4.085575969718504,1922.5254174704844,23070.305009645814,0.267,86405.63674024648,4.936542074948042
13414.2.midgut,14428.0,4.159206133646325,3480.282972293026,41763.39566751631,0.0696,600048.7883263838,5.778186563116172
13414.2.skin,4905.0,3.6906390117159673,79.68835331466002,956.2602397759202,0.121,7902.977188230746,3.897790728359596
13414.20.gill,4771.0,3.6786094165589263,72.32446705594546,867.8936046713455,0.236,3677.5152740311255,3.5655544851830236
13414.20.hg,7541.0,3.87742894078822,359.1312491966142,4309.5749903593705,0.067,64322.014781483136,4.808359639514899
13414.20.midgut,4872.0,3.687707279624819,77.82736402488521,933.9283682986226,0.0213,43846.402267540965,4.641933963963051
13414.20.skin,2495.0,3.397070549959409,7.4775296351374925,89.7303556216499,0.044,2039.326264128407,3.3094867124752483
13414.21.gill,71808.0,4.85617283090403,957959.6459964224,11495515.751957068,0.751,15306945.075841635,7.184888523873355
13414.21.hg,1711.0,3.2332500095411003,1.996660234279004,23.95992281134805,0.066,363.0291335052735,2.559941479066073
13414.21.midgut,2457.0,3.390405156480081,7.086404292612099,85.03685151134519,0.1007,844.4573139160397,2.9265777015100434
13414.21.skin,13176.0,4.119783586161698,2532.8874238823123,30394.64908658775,0.097,313346.8977998737,5.496025399450652
13414.22.gill,21684.0,4.336139398608557,14486.70568917687,173840.46827012242,0.254,684411.2924020567,5.835317166543291
13414.22.hg,9558.0,3.980367026184775,823.3567922840259,9880.281507408312,0.177,55820.79947688312,4.746796052251364
13414.22.midgut,3740.0,3.5728716022004803,30.84252401248918,370.11028814987014,0.0383,9663.453998691126,3.9851323836058627
13414.22.skin,5392.0,3.7317498835272636,110.9950222839373,1331.9402674072476,0.154,8648.962775371738,3.936964027933927
13414.23.gill,55347.0,4.743094085580497,385048.0671460004,4620576.8057520045,0.069,66964881.24278267,7.825847102983129
13414.23.hg,37771.0,4.577158483073032,101078.1294432388,1212937.5533188656,0.028,43319198.33281663,7.636680410952923
13414.23.skin,21577.0,4.333991061569507,14238.01286602687,170856.15439232244,0.069,2476176.1506133685,6.393781536357057
13414.24.gill,30779.0,4.488254505633963,49368.36331905699,592420.3598286839,0.076,7795004.734587946,6.891816383309953
13414.24.midgut,11277.0,4.0521935804334746,1468.9837830677116,17627.80539681254,0.0277,636382.866310922,5.803718478380593
13414.24.skin,1975.0,3.295567099962479,3.2994777894875087,39.59373347385011,0.083,477.0329334198808,2.678548362915993
13414.25.gill,37839.0,4.577939650451199,101716.56218623123,1220598.7462347746,0.016,76287421.63967341,7.8824529368696155
13414.25.hg,1490.0,3.173186268412274,1.2304131937974312,14.764958325569175,0.0114,1295.1717829446645,3.112327374160298
13414.25.midgut,33837.0,4.5293918513764115,68778.08058830655,825336.9670596786,0.0064,128958901.10307477,8.110451323725096
13414.25.skin,25938.0,4.413936485917295,27120.54566084754,325446.5479301705,0.003,108482182.64339016,8.035358414543309
13414.26.gill,2673.0,3.426998958756537,9.51749307397939,114.20991688775268,0.132,865.2266430890354,2.937129884285771
13414.26.hg,3418.0,3.533772058384718,22.505150273718357,270.0618032846203,0.0636,4246.254768626105,3.628006047599448
13414.26.midgut,2150.0,3.3324384599156054,4.4413340932944925,53.296009119533906,0.0273,1952.234766283293,3.290532042618919
13414.26.skin,22814.0,4.358201437211247,17306.04491383433,207672.53896601195,0.082,2532591.938609902,6.403565220155201
13414.27.gill,7284.0,3.8623699371228826,318.0820326188595,3816.984391426314,0.285,13392.927689215137,4.126875524008893
13414.27.hg,25227.0,4.401865607199611,24606.185829850692,295274.2299582083,0.015,19684948.663880553,7.294134286536842
13414.27.midgut,12421.0,4.0941565617825235,2060.19563093649,24722.34757123788,0.0466,530522.4800694823,5.724703791184166
13414.27.skin,7277.0,3.8619523749214517,317.0132839557837,3804.159407469405,0.124,30678.704898946813,4.48683702192907
13414.28.gill,1811.0,3.2579184503140586,2.435881020033755,29.23057224040506,0.467,62.59223177816929,1.7965204369609309
13414.28.hg,12907.0,4.110825310054965,2356.4456784740473,28277.34814168857,0.132,214222.3344067316,5.33086474756001
13414.28.midgut,7168.0,3.8553979966540686,300.7002942036795,3608.403530444154,0.1469,24563.67277361575,4.390293303269665
13414.28.skin,2870.0,3.4578818967339924,12.20754478920566,146.49053747046793,0.0953,1537.151494968184,3.1867166717850117
