sample_name	altitude	anonymized_name	bile_sample	biomass_even	biomass_quartile	climate	collection_substrate	collection_timestamp	scientific_name	taxon_id	host_body_habitat	host_body_product	host_body_site	collection_year	common_name	condition_factor	conservation_status	control	control_2	control_rct	control_cell_into_extraction	control_org	control_type	depth_high_range_m	depth_low_range_m	depth_m	description	diet	diet_reference	dist_to_dorsal_cm	distance_from_shore_m	distance_from_shore_m_log	dna_extracted	dnaplate_column	dnaplate_row	dnaplate_well_id	elevation	empo_1	empo_2	empo_3	env	env0	env_biome	env_feature	env_material	env_package	estimated_biomass_per_dnarxn	estimated_biomass_per_pcrrxn	estimated_cells_per_g	evo_distanceto_mackerel_median_mya	evo_timetree_species_name	extraction_cleanup	extraction_date	extraction_lot	extraction_mass_g	extraction_notes	extraction_notes_gill	extraction_plate_name	fish_collection_method	fl_cm	fmp_number	gamma_include	gape_cm	general_location	geo_loc_name	gi_cm	hab_notes	hab_sum	habitat_act_collection	habitat_be	habitat_cp	habitat_depth_level1	habitat_depth_level2	habitat_drf	habitat_dslp	habitat_is	habitat_kbrf	habitat_mdrf	habitat_ms	habitat_os	habitat_p	habitat_ref	habitat_rit	habitat_rst	habitat_sslp	habitat_sz	host_age	host_age_units	host_body_mass_index	host_common_name	host_common_name_	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	include_st	latitude	log_estimated_cells_per_g	log_total_reads	longitude	mass_g	mass_g_log	max_age	max_kg_grams	max_tl_cm	max_length_cm_LOVE2021	method_gear	month	name	notes	notes_on_dissection	num_order	number_db	ocean_basin	p_class	p_fam_common	p_family	p_genus	p_order	p_genus_species_alternative	pcr_order	ph_cells_per_g	ph_cells_per_g_log	ph_cells_per_mg	ph_extrapolated_cells_per_60ul_total	ph_extrapolated_cells_per_extra_ln	ph_extrapolated_cells_per_pcr_total	ph_log_reads	ph_r1150	ph_reads_per_mg	ph_total_reads	physical_specimen_location	physical_specimen_remaining	prey_1_phytoplankton_algae	prey_2_zooplankton	prey_3_annelids	prey_3_arthropods	prey_3_echinoderms	prey_3_mollusks	prey_3_invertebrate	prey_4_small_fish	prey_5_large_fish	prey_6_shark_marine_mammal	prey_sum	primer_plate	radii	ratio_dorsal_to_tl	ratio_gape_to_tl	ratio_gi_to_tl	reproductive_process	salinity_tolerance	salinity_tolerance_migration	sample_type	sample_type_2	sample_type_descriptive	sample_types	sd_or_la	season	sex	sjbg_gill	sjbg_gill_direction	sjbg_gill_number	sjbg_gill_orientation	sjbg_gill_sample	sjbg_gill_tissue	sjbg_gill_type	sourcesink	substrata_collection	substrata_group	swim_acceleration	swim_endurance	swim_mode	swim_performance	title	title_fmp_core	tl_cm	host_height_vs_max_height_tl	total_reads_AID_49571	trophic	trophic_likely	type_habitat_nonbay_bol	x	y	z
13414.1.gill	not applicable	1.gill	TRUE	3	4	subtropical	rock associated	2019-07-27	fish metagenome	496924.0	UBERON:respiratory system	UBERON:mucus	UBERON:gill	2019	kelp bass	1.3803	LC	0	0	0	0.0	0	not applicable	61	1	3	1.gill	fish, squid, invertebrates	fishbase.org	11.8	24	1.380211242	TRUE	1	a	a1	0	Host-associated	Animal	Animal corpus	1gill	gill	marine biome	animal-associated habitat	organic material	host-associated	8824735.602	735394.6335	14538279.41	116	Paralabrax	clearmag beads KF	2020-09-14	PS16L1	0.607	not applicable	PG	FMP101_P4_gill_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.380315501	kelp bass	kelp bass	36	cm	not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1.0	32.848152	7.162513011	4.823369882	-117.278413	644	2.808885867	34	7	72	72.1	spear	7	1.gill	not applicable	not applicable	577	296	Eastern Pacific	Actinopterygii	Sea basses, groupers, and fairy basslets	Serranidae	Paralabrax	Perciformes	Paralabrax clathratus	673	14481971	7.160827673	14482	8790556	5.864835118	732546	4.811219651	1	106667	64747	SIO	not collected	not applicable	not applicable	not applicable	not applicable	not applicable	1	1	1	not applicable	not applicable	3.0	8	not applicable	0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish gill	g	gill tissue	gill, fin, skin, MG, HG	255	summer	F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	FMP101	1.0	36	50	66584	3	3	TRUE	not applicable	not applicable	not applicable
13414.1.hg	not applicable	1.hg	TRUE	1	2	subtropical	rock associated	2019-07-27	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	kelp bass	1.3803	LC	0	0	0	0.0	0	not applicable	61	1	3	1.hg	fish, squid, invertebrates	fishbase.org	11.8	24	1.380211242	TRUE	1	a	a1	0	Host-associated	Animal	Animal distal gut	1hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	852.7068343	71.05890286	9689.85039	116	Paralabrax	clearmag beads KF	2020-09-10	PS16L1	0.088	not applicable	not applicable	FMP101_P1_hg_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.380315501	kelp bass	kelp bass	36	cm	not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1.0	32.848152	3.986317072	3.676419232	-117.278413	644	2.808885867	34	7	72	72.1	spear	7	1.hg	not applicable	not applicable	289	296	Eastern Pacific	Actinopterygii	Sea basses, groupers, and fairy basslets	Serranidae	Paralabrax	Perciformes	Paralabrax clathratus	385	9529	3.979047327	10	839	1.844366004	70	3.66152874	1	52125	4587	SIO	not collected	not applicable	not applicable	not applicable	not applicable	not applicable	1	1	1	not applicable	not applicable	3.0	5	not applicable	0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	gill, fin, skin, MG, HG	255	summer	F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	FMP101	1.0	36	50	4747	3	3	TRUE	not applicable	not applicable	not applicable
13414.1.midgut	not applicable	1.midgut	TRUE	3	4	subtropical	rock associated	2019-07-27	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	kelp bass	1.3803	LC	0	0	0	0.0	0	not applicable	61	1	3	1.midgut	fish, squid, invertebrates	fishbase.org	11.8	24	1.380211242	TRUE	1	a	a1	0	Host-associated	Animal	Animal proximal gut	1midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	269489.1492	22457.4291	3294488.376	116	Paralabrax	clearmag beads KF	2020-09-10	PS16L1	0.0818	not applicable	not applicable	FMP101_P2_mg_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.380315501	kelp bass	kelp bass	36	cm	not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1.0	32.848152	6.51778798	4.390528869	-117.278413	644	2.808885867	34	7	72	72.1	spear	7	1.midgut	not applicable	not applicable	385	296	Eastern Pacific	Actinopterygii	Sea basses, groupers, and fairy basslets	Serranidae	Paralabrax	Perciformes	Paralabrax clathratus	481	3273034	6.514950517	3273	267734	4.348522559	22311	4.377615831	1	291650	23857	SIO	not collected	not applicable	not applicable	not applicable	not applicable	not applicable	1	1	1	not applicable	not applicable	3.0	6	not applicable	0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish midgut digesta	mg	midgut digesta	gill, fin, skin, MG, HG	255	summer	F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	FMP101	1.0	36	50	24577	3	3	TRUE	not applicable	not applicable	not applicable
13414.1.skin	not applicable	1.skin	TRUE	1	2	subtropical	rock associated	2019-07-27	fish metagenome	496924.0	UBERON:skin	UBERON:mucus	UBERON:skin of body	2019	kelp bass	1.3803	LC	0	0	0	0.0	0	not applicable	61	1	3	1.skin	fish, squid, invertebrates	fishbase.org	11.8	24	1.380211242	TRUE	1	a	a1	0	Host-associated	Animal	Animal surface	1skin	skin	marine biome	animal-associated habitat	mucus	host-associated	1365.969601	113.8308001	9552.234972	116	Paralabrax	clearmag beads KF	2020-09-14	PS16L1	0.143	high	not applicable	FMP101_P3_skin_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.380315501	kelp bass	kelp bass	36	cm	not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1.0	32.848152	3.980104997	3.734879803	-117.278413	644	2.808885867	34	7	72	72.1	spear	7	1.skin	not applicable	not applicable	481	296	Eastern Pacific	Actinopterygii	Sea basses, groupers, and fairy basslets	Serranidae	Paralabrax	Perciformes	Paralabrax clathratus	577	9541	3.979593896	10	1364	2.055747979	114	3.721975402	1	36867	5272	SIO	not collected	not applicable	not applicable	not applicable	not applicable	not applicable	1	1	1	not applicable	not applicable	3.0	7	not applicable	0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish skin	s	skin swab	gill, fin, skin, MG, HG	255	summer	F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	FMP101	1.0	36	50	5431	3	3	TRUE	not applicable	not applicable	not applicable
13414.10.gill	not applicable	10.gill	FALSE	2	3	subtropical	rock associated	2019-06-29	fish metagenome	496924.0	UBERON:respiratory system	UBERON:mucus	UBERON:gill	2019	xantic sargo	1.6525	LC	0	0	0	0.0	0	not applicable	40	0	3	10.gill	crustaceans, mollusks, bryozoans	fishbase.org	7.3	103	2.012837225	TRUE	2	b	b2	0	Host-associated	Animal	Animal corpus	10gill	gill	marine biome	animal-associated habitat	organic material	host-associated	354574.0118	29547.83432	968781.4531	116	Anisotremus virginicus	clearmag beads KF	2020-09-14	PS16L1	0.366	not applicable	PG	FMP101_P4_gill_1.88	spear	23.5	10	1	2	carlsbad dip-in-road	USA:CA:San Diego	32	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.652456446	xantic sargo	sargo	25.5	cm	not collected	Anisotremus davidsonii	FMP_10	314002	274	grams	1.0	33.113536	5.986225816	4.424571315	-117.325634	274	2.437750563	15	not applicable	58	60	spear	6	10.gill	not applicable	not applicable	586	298	Eastern Pacific	Actinopterygii	grunts	Haemulidae	Anisotremus	Perciformes	Anisotremus davidsonii	682	963997	5.984075682	964	352823	4.468375667	29402	4.411888952	1	70536	25816	SIO	not collected	not applicable	not applicable	not applicable	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	2.0	8	not applicable	0.28627451	0.078431373	1.254901961	oviparous	marine	marine	fish gill	g	gill tissue	gill, fin, skin, MG, HG	257	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	1	3	Embiotociform	manoeuvrer	FMP101	1.0	25.5	44	26581	2	2	TRUE	not applicable	not applicable	not applicable
13414.10.hg	not applicable	10.hg	FALSE	1	1	subtropical	rock associated	2019-06-29	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	xantic sargo	1.6525	LC	0	0	0	0.0	0	not applicable	40	0	3	10.hg	crustaceans, mollusks, bryozoans	fishbase.org	7.3	103	2.012837225	TRUE	2	b	b2	0	Host-associated	Animal	Animal distal gut	10hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	22.05579966	1.837983305	612.6611016	116	Anisotremus virginicus	clearmag beads KF	2020-09-10	PS16L1	0.036	not applicable	not applicable	FMP101_P1_hg_1.88	spear	23.5	10	1	2	carlsbad dip-in-road	USA:CA:San Diego	32	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.652456446	xantic sargo	sargo	25.5	cm	not collected	Anisotremus davidsonii	FMP_10	314002	274	grams	1.0	33.113536	2.787220307	3.22297645	-117.325634	274	2.437750563	15	not applicable	58	60	spear	6	10.hg	not applicable	not applicable	298	298	Eastern Pacific	Actinopterygii	grunts	Haemulidae	Anisotremus	Perciformes	Anisotremus davidsonii	394	632	2.800717078	1	23	0.277671596	2	3.213517757	1	45417	1635	SIO	not collected	not applicable	not applicable	not applicable	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	2.0	5	not applicable	0.28627451	0.078431373	1.254901961	oviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	gill, fin, skin, MG, HG	257	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	1	3	Embiotociform	manoeuvrer	FMP101	1.0	25.5	44	1671	2	2	TRUE	not applicable	not applicable	not applicable
13414.10.midgut	not applicable	10.midgut	FALSE	2	3	subtropical	rock associated	2019-06-29	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	xantic sargo	1.6525	LC	0	0	0	0.0	0	not applicable	40	0	3	10.midgut	crustaceans, mollusks, bryozoans	fishbase.org	7.3	103	2.012837225	TRUE	2	b	b2	0	Host-associated	Animal	Animal proximal gut	10midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	15973.72431	1331.143693	159577.6655	116	Anisotremus virginicus	clearmag beads KF	2020-09-10	PS16L1	0.1001	not applicable	not applicable	FMP101_P2_mg_1.88	spear	23.5	10	1	2	carlsbad dip-in-road	USA:CA:San Diego	32	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.652456446	xantic sargo	sargo	25.5	cm	not collected	Anisotremus davidsonii	FMP_10	314002	274	grams	1.0	33.113536	5.202972107	4.039969027	-117.325634	274	2.437750563	15	not applicable	58	60	spear	6	10.midgut	not applicable	not applicable	394	298	Eastern Pacific	Actinopterygii	grunts	Haemulidae	Anisotremus	Perciformes	Anisotremus davidsonii	490	159102	5.201675639	159	15926	3.122928393	1327	4.027145666	1	106344	10645	SIO	not collected	not applicable	not applicable	not applicable	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	2.0	6	not applicable	0.28627451	0.078431373	1.254901961	oviparous	marine	marine	fish midgut digesta	mg	midgut digesta	gill, fin, skin, MG, HG	257	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	1	3	Embiotociform	manoeuvrer	FMP101	1.0	25.5	44	10964	2	2	TRUE	not applicable	not applicable	not applicable
13414.10.skin	not applicable	10.skin	FALSE	2	3	subtropical	rock associated	2019-06-29	fish metagenome	496924.0	UBERON:skin	UBERON:mucus	UBERON:skin of body	2019	xantic sargo	1.6525	LC	0	0	0	0.0	0	not applicable	40	0	3	10.skin	crustaceans, mollusks, bryozoans	fishbase.org	7.3	103	2.012837225	TRUE	2	b	b2	0	Host-associated	Animal	Animal surface	10skin	skin	marine biome	animal-associated habitat	mucus	host-associated	34371.01802	2864.251501	554371.2583	116	Anisotremus virginicus	clearmag beads KF	2020-09-14	PS16L1	0.062	high	not applicable	FMP101_P3_skin_1.88	spear	23.5	10	1	2	carlsbad dip-in-road	USA:CA:San Diego	32	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.652456446	xantic sargo	sargo	25.5	cm	not collected	Anisotremus davidsonii	FMP_10	314002	274	grams	1.0	33.113536	5.743800706	4.135037192	-117.325634	274	2.437750563	15	not applicable	58	60	spear	6	10.skin	not applicable	not applicable	490	298	Eastern Pacific	Actinopterygii	grunts	Haemulidae	Anisotremus	Perciformes	Anisotremus davidsonii	586	545484	5.736782016	545	33820	3.449992164	2818	4.120672623	1	212952	13203	SIO	not collected	not applicable	not applicable	not applicable	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	2.0	7	not applicable	0.28627451	0.078431373	1.254901961	oviparous	marine	marine	fish skin	s	skin swab	gill, fin, skin, MG, HG	257	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	1	3	Embiotociform	manoeuvrer	FMP101	1.0	25.5	44	13647	2	2	TRUE	not applicable	not applicable	not applicable
13414.100.g	not applicable	100.g	FALSE	1	2	subtropical	soft bottom	2020-08-20	fish metagenome	496924.0	UBERON:respiratory system	UBERON:mucus	UBERON:gill	2020	longjaw mudsucker	0.8914	LC	0	0	0	0.0	0	not applicable	5	0	1	100.g	crustaceans, worms	https://biogeodb.stri.si.edu/sftep/en/thefishes/species/2088	4.2	30	1.477121255	TRUE	2	d	d2	0	Host-associated	Animal	Animal corpus	100g	gill	marine biome	animal-associated habitat	organic material	host-associated	223.2279481	18.60232901	4621.696648	116	Gillichthys mirabilis	clearmag beads KF	2020-09-14	PS16L1	0.0483	not applicable	not applicable	plate5_89-103_gill.skin.mg.hg	hook and line	12	100	1	2	not applicable	USA:CA:San Diego	13.4	mud, sandy bottom,	1	BE	1	0	shallow	intertidal	0	0	0	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.891435185	longjaw mudsucker	longjaw mudsucker	12	cm	not collected	Gillichthys mirabilis	FMP_100	8222	15.404	grams	1.0	32.787057	3.664801436	3.510142699	-117.208794	15.404	1.18763351	2	not applicable	21	21	rod and reel	8	100.g	not applicable	not applicable	12	334	Eastern Pacific	Actinopterygii	gobies	Gobiidae	Gillichthys	Gobiiformes	Gillichthys mirabilis	100	5131	3.710202015	5	248	1.31496902	21	3.510142699	1	67019	3237	SIO	not collected	not applicable	not applicable	1	1	not applicable	not applicable	1	not applicable	not applicable	not applicable	3.0	1	not applicable	0.35	0.166666667	1.116666667	oviparous	brackish	brackish	fish gill	g	gill tissue	gill, fin, skin, MG, HG	293	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	sandy mud bottom	soft bottom	3	1	Cottiform	accelerator	FMP101	1.0	12	57	3237	2	2	FALSE	not applicable	not applicable	not applicable
13414.100.s	not applicable	100.s	FALSE	2	2	subtropical	soft bottom	2020-08-20	fish metagenome	496924.0	UBERON:skin	UBERON:mucus	UBERON:skin of body	2020	longjaw mudsucker	0.8914	LC	0	0	0	0.0	3	not applicable	5	0	1	100.s	crustaceans, worms	https://biogeodb.stri.si.edu/sftep/en/thefishes/species/2088	4.2	30	1.477121255	TRUE	5	d	d5	0	Host-associated	Animal	Animal surface	100s	skin	marine biome	animal-associated habitat	mucus	host-associated	333.0645284	27.75537737	13430.02131	116	Gillichthys mirabilis	clearmag beads KF	2020-09-14	PS16L1	0.0248	not applicable	not applicable	plate5_89-103_gill.skin.mg.hg	hook and line	12	100	1	2	not applicable	USA:CA:San Diego	13.4	mud, sandy bottom,	1	BE	1	0	shallow	intertidal	0	0	0	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.891435185	longjaw mudsucker	longjaw mudsucker	12	cm	not collected	Gillichthys mirabilis	FMP_100	8222	15.404	grams	1.0	32.787057	4.128076702	3.559786968	-117.208794	15.404	1.18763351	2	not applicable	21	21	rod and reel	8	100.s	not applicable	not applicable	36	334	Eastern Pacific	Actinopterygii	gobies	Gobiidae	Gillichthys	Gobiiformes	Gillichthys mirabilis	20	13597	4.133443098	14	337	1.448717795	28	3.548389418	1	142540	3535	SIO	not collected	not applicable	not applicable	1	1	not applicable	not applicable	1	not applicable	not applicable	not applicable	3.0	1	not applicable	0.35	0.166666667	1.116666667	oviparous	brackish	brackish	fish skin	s	skin swab	gill, fin, skin, MG, HG	293	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	sandy mud bottom	soft bottom	3	1	Cottiform	accelerator	FMP101	1.0	12	57	3629	2	2	FALSE	not applicable	not applicable	not applicable
